County,Latitude,Longitude,Elevation
Yellowstone,45.9727,-108.3601,78700
Wibaux,47.0207,-104.1863,8718
Wheatland,46.4874,-109.8421,17138
Valley,48.3347,-106.5325,39920
Treasure,46.1715,-107.2369,10643
Toole,48.6175,-111.7313,37223
Teton,47.8179,-112.1627,39347
Sweet Grass,45.701,-109.8912,17861
Stillwater,45.6523,-109.213,42871
Silver Bow,45.9061,-112.6901,43517
Sheridan,48.6974,-104.5431,23051
Sanders,47.6957,-115.1536,47839
Rosebud,46.0242,-106.5653,48264
Roosevelt,48.2809,-104.9255,20724
Richland,47.7521,-104.6391,21063
Ravalli,46.0635,-114.1304,50697
Prairie,46.8682,-105.5572,9511
Powell,46.9379,-113.0493,40217
Powder River,45.3947,-105.6109,36638
Pondera,48.2343,-112.4465,26646
Phillips,48.229,-107.8905,35097
Petroleum,47.175,-108.3333,9363
Park,45.597,-110.5064,94609
Musselshell,46.4464,-108.3212,18747
Missoula,47.1072,-113.9449,78627
Mineral,47.0981,-114.8631,26711
Meagher,46.6376,-110.8206,30635
McCone,47.5977,-105.8121,9908
Madison,45.2788,-111.9151,87520
Lincoln,48.4634,-115.4496,36953
Liberty,48.5739,-111.0115,17673
Lewis And Clark,47.1899,-112.5344,80250
Lake,47.597,-114.1349,50757
Judith Basin,47.0311,-110.2006,42720
Jefferson,46.1606,-112.1499,66482
Hill,48.5696,-110.1276,32654
Granite,46.3869,-113.4202,27554
Golden Valley,46.4005,-109.1318,15059
Glacier,48.6561,-112.9653,49714
Garfield,47.4172,-107.1049,16336
Gallatin,45.3376,-111.2056,89149
Flathead,48.303,-114.0979,80144
Fergus,47.2602,-109.3598,80247
Fallon,46.2947,-104.4655,15531
Deer Lodge,46.0131,-113.0994,42778
Dawson,47.3283,-104.9234,18509
Daniels,48.7726,-105.5298,23858
Custer,46.3205,-105.5301,28399
Chouteau,47.8648,-110.474,49074
Cascade,47.266,-111.4165,84724
Carter,45.5708,-104.5117,30724
Carbon,45.3168,-109.1433,77249
Broadwater,46.3095,-111.4521,20420
Blaine,48.3646,-108.9651,42836
Big Horn,45.5509,-107.3996,50472
Beaverhead,45.1549,-113.0231,82909
